NIT,RAZÓN_SOCIAL,SUPERVISOR,DEPARTAMENTO_DOMICILIO,CIUDAD_DOMICILIO,MACROSECTOR,INGRESOS_OPERACIONALES,GANANCIA_PÉRDIDA,TOTAL_ACTIVOS,TOTAL_PASIVOS,TOTAL_PATRIMONIO
900697291,FORTIA LOGISTIC SAS,SUPERSOCIEDADES,ATLANTICO,PUERTO COLOMBIA-ATLANTICO,SERVICIOS,0.02,0.0,0.02,0.0,0.01
830124904,PARDO Y  ASOCIADOS  ESTRATEGIAS TRIBUTARIAS SA,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,0.02,0.0,0.04,0.02,0.03
900180548,DISTRIBUCIONES FERROELECTRICOS DE OCCIDENTE SAS,SUPERSOCIEDADES,VALLE,CALI-VALLE,COMERCIO,0.02,0.0,0.01,0.0,0.01
901069939,"2,72 SAS",SUPERSOCIEDADES,ANTIOQUIA,MEDELLIN-ANTIOQUIA,SERVICIOS,0.02,0.02,0.1,0.0,0.1
811023187,INMOBILIARIA PROACTIVA SAS,SUPERSOCIEDADES,ANTIOQUIA,MEDELLIN-ANTIOQUIA,CONSTRUCCIÓN,0.02,0.0,0.07,0.05,0.01
900153392,HARMONY FLAVOURS & INGREDIENTS LTDA,SUPERSOCIEDADES,CUNDINAMARCA,COTA -CUNDINAMARCA,COMERCIO,0.02,0.0,0.01,0.01,0.01
900464041,SBA TELECOMUNICACIONES COLOMBIA SA,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,0.02,0.0,0.09,0.05,0.04
830041730,SELIG DE COLOMBIA S.A,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,0.02,0.0,0.02,0.01,0.01
900487594,CONSULTORIAS EMPRESARIALES EFICIENTES S.A.S,SUPERSOCIEDADES,ANTIOQUIA,ITAGUI-ANTIOQUIA,SERVICIOS,0.02,0.0,0.01,0.0,0.01
900037539,MOLDPET SAS,SUPERSOCIEDADES,ANTIOQUIA,LA-ESTRELLA -ANTIOQUIA,MANUFACTURA,0.02,0.0,0.01,0.01,0.0
